STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,39.6,A,Annual,Zimbabwe,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2006,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,47.7,A,Annual,Zimbabwe,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,46.9,A,Annual,Zambia,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,48.7,A,Annual,"Yemen, Rep.",Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2018,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,45.1,A,Annual,Zambia,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,9.3,A,Annual,Armenia,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,JOR,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,22.6,A,Annual,Jordan,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KGZ,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,33.7,A,Annual,Kyrgyz Republic,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ETH,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,63.0,A,Annual,Ethiopia,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UGA,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,49.0,A,Annual,Uganda,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
