TIME_PERIOD,OBS_VALUE,min,max,Rwanda,Nigeria
1997,7.424242424242425,0.0,27.2727272727273,17.1428571428571,0.0
1998,8.054054054054056,0.0,28.75,17.1428571428571,0.0
1999,8.29015544041451,0.0,30.0,17.1428571428571,0.0
2000,8.10810810810811,0.0,30.0,25.7142857142857,3.41880341880342
2001,8.7609649122807,0.0,30.0,25.6756756756757,3.41880341880342
2002,9.32642487046632,0.0,30.0,25.6756756756757,3.41880341880342
2003,10.2040816326531,1.20481927710843,48.75,48.75,4.72222222222222
2004,10.990338164251199,2.86343612334802,48.75,48.75,4.72222222222222
2005,11.85585585585585,1.98237885462555,48.75,48.75,6.38888888888889
2006,12.5,2.03619909502262,48.75,48.75,6.11111111111111
2007,13.8461538461538,1.80995475113122,48.75,48.75,6.98324022346369
2008,13.08825418575775,1.80995475113122,56.25,56.25,6.98324022346369
2009,13.6363636363636,0.0,56.25,56.25,6.98324022346369
2010,13.7412587412587,3.03030303030303,56.25,56.25,6.98324022346369
2011,13.8888888888889,1.96850393700787,56.25,56.25,6.81818181818182
2012,15.76875259013675,1.96850393700787,56.25,56.25,6.66666666666667
2013,17.4863387978142,3.03030303030303,63.75,63.75,6.66666666666667
2014,18.1818181818182,3.03030303030303,63.75,63.75,6.66666666666667
2015,17.882117882117903,3.03030303030303,63.75,63.75,5.55555555555556
2016,18.1818181818182,3.03030303030303,63.75,63.75,5.55555555555556
2017,18.1818181818182,5.55555555555556,61.25,61.25,5.55555555555556
2018,20.0,5.55555555555556,61.25,61.25,5.55555555555556
2019,20.2614379084967,3.38028169014084,61.25,61.25,3.38028169014084
2020,20.753164556962048,6.2992125984252,61.25,61.25,7.22222222222222
2021,22.8571428571429,3.61111111111111,61.25,61.25,3.61111111111111
2022,22.886904761904802,3.61111111111111,61.25,61.25,3.61111111111111
