REF_AREA_LABEL,OBS_VALUE,TIME_PERIOD,Area
Zimbabwe,39.6,2011,belief beating
Zimbabwe,47.7,2006,belief beating
Zambia,46.9,2014,belief beating
Zambia,45.1,2018,belief beating
Ethiopia,63.0,2016,belief beating
Uganda,49.0,2016,belief beating
"Congo, Dem. Rep.",74.8,2014,belief beating
Togo,28.7,2014,belief beating
Kenya,41.8,2014,belief beating
Zimbabwe,51.0,1999,belief beating
Nigeria,34.7,2013,belief beating
Senegal,60.0,2011,belief beating
Ethiopia,68.4,2011,belief beating
Namibia,28.2,2013,belief beating
Malawi,12.6,2010,belief beating
Benin,31.8,2018,belief beating
Cameroon,46.5,2011,belief beating
Senegal,43.9,2018,belief beating
Uganda,58.3,2011,belief beating
Burundi,61.8,2017,belief beating
Benin,16.2,2012,belief beating
Zimbabwe,38.7,2015,belief beating
Mali,76.3,2013,belief beating
Senegal,48.6,2016,belief beating
Burkina Faso,43.5,2010,belief beating
Burundi,72.9,2010,belief beating
Niger,70.1,2006,belief beating
Ghana,28.3,2014,belief beating
Chad,73.5,2015,belief beating
Rwanda,56.2,2010,belief beating
Gabon,50.2,2012,belief beating
Tanzania,58.0,2016,belief beating
Senegal,45.7,2017,belief beating
South Africa,5.5,2016,belief beating
"Egypt, Arab Rep.",35.7,2014,belief beating
Ghana,36.6,2008,belief beating
Guinea,67.2,2018,belief beating
Comoros,39.0,2012,belief beating
"Congo, Rep.",60.7,2012,belief beating
Senegal,64.2,2013,belief beating
Sierra Leone,62.8,2013,belief beating
Mozambique,21.0,2011,belief beating
Senegal,57.2,2014,belief beating
Angola,25.2,2016,belief beating
Nigeria,28.0,2018,belief beating
"Gambia, The",58.4,2013,belief beating
Liberia,42.5,2013,belief beating
Lesotho,37.1,2009,belief beating
Niger,59.6,2012,belief beating
Uganda,70.2,2006,belief beating
Madagascar,32.3,2009,belief beating
Benin,46.5,2006,belief beating
Tanzania,53.5,2010,belief beating
Lesotho,33.3,2014,belief beating
Malawi,16.3,2016,belief beating
Namibia,35.2,2007,belief beating
Cameroon,55.6,2004,belief beating
Mali,79.4,2018,belief beating
Zambia,85.4,2002,belief beating
Zambia,61.9,2007,belief beating
Kenya,52.6,2009,belief beating
Senegal,39.1,2019,belief beating
Sierra Leone,48.6,2019,belief beating
Guinea,92.1,2012,belief beating
Rwanda,48.0,2005,belief beating
Cameroon,27.7,2018,belief beating
Nigeria,43.0,2008,belief beating
Burkina Faso,44.1,2021,belief beating
"Congo, Dem. Rep.",75.6,2007,belief beating
"Gambia, The",51.4,2020,belief beating
Eswatini,23.2,2007,belief beating
Ethiopia,81.0,2005,belief beating
"Egypt, Arab Rep.",39.3,2008,belief beating
Guinea,85.6,2005,belief beating
Liberia,59.3,2007,belief beating
Tanzania,59.6,2005,belief beating
Rwanda,41.4,2015,belief beating
Senegal,56.5,2015,belief beating
Gabon,29.3,2021,belief beating
Sierra Leone,64.6,2008,belief beating
Kenya,67.9,2003,belief beating
Mali,75.2,2006,belief beating
Rwanda,63.3,2000,belief beating
Mozambique,13.3,2015,belief beating
Senegal,65.2,2005,belief beating
Mozambique,54.1,2003,belief beating
Liberia,37.0,2020,belief beating
Benin,60.4,2001,belief beating
Burkina Faso,71.1,2003,belief beating
Lesotho,48.3,2004,belief beating
Madagascar,28.0,2004,belief beating
Malawi,28.2,2004,belief beating
Madagascar,40.6,2021,belief beating
Mauritania,27.1,2021,belief beating
"Egypt, Arab Rep.",50.0,2005,belief beating
Kenya,32.4,2022,belief beating
Ethiopia,84.5,2000,belief beating
"Congo, Rep.",67.4,2005,belief beating
Mali,88.8,2001,belief beating
Uganda,76.5,2001,belief beating
Ghana,19.3,2022,belief beating
Morocco,63.9,2004,belief beating
Ghana,48.5,2003,belief beating
Nigeria,64.2,2003,belief beating
Malawi,35.7,2000,belief beating
Rwanda,49.6,2020,belief beating
Eritrea,70.7,2002,belief beating
Tanzania,47.8,2022,belief beating
Mozambique,18.7,2023,belief beating
