REF_AREA_LABEL,TIME_PERIOD,OBS_VALUE,Area
Angola,2016,45.28333333333333,refuse sex
Benin,2001,59.41111111111112,refuse sex
Benin,2006,58.80833333333333,refuse sex
Benin,2012,53.988888888888894,refuse sex
Benin,2018,18.566666666666666,refuse sex
Burkina Faso,2003,56.62777777777777,refuse sex
Burkina Faso,2010,53.96666666666667,refuse sex
Burundi,2010,63.85,refuse sex
Burundi,2017,60.21666666666667,refuse sex
Cameroon,2004,55.50833333333333,refuse sex
Cameroon,2011,30.45,refuse sex
Cameroon,2018,61.400000000000006,refuse sex
Chad,2015,14.566666666666668,refuse sex
Comoros,2012,53.21666666666667,refuse sex
"Congo, Dem. Rep.",2007,42.84166666666667,refuse sex
"Congo, Dem. Rep.",2014,51.5,refuse sex
"Congo, Rep.",2012,54.199999999999996,refuse sex
Cote d'Ivoire,2012,44.36666666666667,refuse sex
Eswatini,2007,53.19444444444444,refuse sex
Ethiopia,2005,77.01111111111112,refuse sex
Ethiopia,2011,82.06666666666666,refuse sex
Ethiopia,2016,72.10000000000001,refuse sex
Gabon,2012,72.94166666666668,refuse sex
Gabon,2021,40.800000000000004,refuse sex
"Gambia, The",2013,51.31666666666666,refuse sex
"Gambia, The",2020,63.199999999999996,refuse sex
Ghana,2003,65.39722222222223,refuse sex
Ghana,2008,80.77222222222223,refuse sex
Ghana,2014,73.38333333333334,refuse sex
Guinea,2005,46.294444444444444,refuse sex
Guinea,2012,51.9,refuse sex
Guinea,2018,39.03333333333333,refuse sex
Kenya,2003,60.96944444444445,refuse sex
Kenya,2014,77.8,refuse sex
Kenya,2022,40.71666666666667,refuse sex
Lesotho,2004,63.78055555555555,refuse sex
Lesotho,2009,60.57222222222222,refuse sex
Lesotho,2014,64.98333333333333,refuse sex
Liberia,2007,65.0611111111111,refuse sex
Liberia,2013,74.51666666666667,refuse sex
Liberia,2020,72.41666666666667,refuse sex
Madagascar,2004,70.16944444444444,refuse sex
Madagascar,2009,44.37777777777777,refuse sex
Madagascar,2021,87.48333333333333,refuse sex
Malawi,2000,50.736111111111114,refuse sex
Malawi,2004,58.897222222222226,refuse sex
Malawi,2010,69.55,refuse sex
Malawi,2016,66.13333333333334,refuse sex
Mali,2001,32.708333333333336,refuse sex
Mali,2006,33.111111111111114,refuse sex
Mali,2013,21.866666666666664,refuse sex
Mali,2018,22.566666666666666,refuse sex
Mauritania,2021,58.449999999999996,refuse sex
Morocco,2004,30.241666666666667,refuse sex
Mozambique,2003,55.30833333333333,refuse sex
Mozambique,2011,42.68333333333334,refuse sex
Mozambique,2015,41.88333333333333,refuse sex
Namibia,2007,84.32222222222222,refuse sex
Namibia,2013,87.31666666666666,refuse sex
Niger,2006,46.75833333333333,refuse sex
Niger,2012,56.96666666666667,refuse sex
Nigeria,2003,55.18611111111111,refuse sex
Nigeria,2008,68.58333333333333,refuse sex
Nigeria,2013,67.51666666666667,refuse sex
Nigeria,2018,69.0,refuse sex
Rwanda,2000,55.224999999999994,refuse sex
Rwanda,2005,62.71944444444445,refuse sex
Rwanda,2010,80.98333333333333,refuse sex
Rwanda,2015,79.41666666666667,refuse sex
Rwanda,2020,72.55,refuse sex
Sao Tome and Principe,2009,69.28888888888889,refuse sex
Senegal,2005,49.84444444444445,refuse sex
Senegal,2011,65.38333333333334,refuse sex
Senegal,2014,50.71666666666667,refuse sex
Senegal,2015,47.699999999999996,refuse sex
Senegal,2016,44.166666666666664,refuse sex
Senegal,2017,51.86666666666667,refuse sex
Sierra Leone,2008,55.861111111111114,refuse sex
Sierra Leone,2013,57.800000000000004,refuse sex
Sierra Leone,2019,62.383333333333326,refuse sex
Tanzania,2005,66.26666666666667,refuse sex
Tanzania,2010,82.56666666666666,refuse sex
Togo,2014,67.81666666666666,refuse sex
Uganda,2001,67.40833333333333,refuse sex
Uganda,2006,77.69444444444444,refuse sex
Uganda,2011,73.56666666666666,refuse sex
Uganda,2016,75.56666666666666,refuse sex
Zambia,2002,61.88611111111111,refuse sex
Zambia,2007,64.38888888888889,refuse sex
Zambia,2014,66.77777777777777,refuse sex
Zambia,2018,54.93333333333334,refuse sex
Zimbabwe,1999,65.32777777777778,refuse sex
Zimbabwe,2006,71.42222222222222,refuse sex
Zimbabwe,2015,61.56666666666666,refuse sex
