REF_AREA_LABEL,Year of First Value_parliament,First Value_parliament,Year of Last Value_parliament,Last Value_parliament,Area_parliament,Change_parliament,Year of First Value_land,First Value_land,Year of Last Value_land,Last Value_land,Area_land,Change_land,Year of First Value_savings,First Value_savings,Year of Last Value_savings,Last Value_savings,Area_savings,Change_savings,Year of First Value_youth literacy,First Value_youth literacy,Year of Last Value_youth literacy,Last Value_youth literacy,Area_youth literacy,Change_youth literacy,Year of First Value_refuse sex,First Value_refuse sex,Year of Last Value_refuse sex,Last Value_refuse sex,Area_refuse sex,Change_refuse sex,Year of First Value_belief beating,First Value_belief beating,Year of Last Value_belief beating,Last Value_belief beating,Area_belief beating,Change_belief beating,Year of First Value_family planning,First Value_family planning,Year of Last Value_family planning,Last Value_family planning,Area_family planning,Change_family planning
Algeria,2000,3.42105263157895,2022,8.10810810810811,parliament,4.68705547652916,,,,,,,2011.0,2.96,2021.0,13.72,savings,10.760000000000002,2002.0,0.915759980678558,2019.0,1.23015689849854,youth literacy,0.314396917819982,,,,,,,,,,,,,,,,,,
Angola,2000,15.4545454545455,2022,33.6363636363636,parliament,18.181818181818098,,,,,,,2011.0,13.24,2014.0,9.5,savings,-3.74,2001.0,0.754170000553131,2022.0,0.939459979534149,youth literacy,0.18528997898101796,2016.0,45.28333333333333,2016.0,45.28333333333333,refuse sex,0.0,2016.0,25.2,2016.0,25.2,belief beating,0.0,2016.0,26.4,2016.0,26.4,family planning,0.0
Benin,2000,6.02409638554217,2022,7.40740740740741,parliament,1.3833110218652402,2012.0,6.627777777777777,2018.0,4.449999999999999,land,-2.177777777777778,2011.0,6.26,2021.0,1.81,savings,-4.449999999999999,2001.0,0.52144730091095,2022.0,0.802990019321442,youth literacy,0.28154271841049194,2001.0,59.41111111111112,2018.0,18.566666666666663,refuse sex,-40.844444444444456,2001.0,60.4,2018.0,31.8,belief beating,-28.599999999999998,2001.0,40.0,2018.0,32.4,family planning,-7.600000000000001
Botswana,2000,17.0212765957447,2022,11.1111111111111,parliament,-5.910165484633598,,,,,,,2011.0,15.62,2022.0,12.9,savings,-2.719999999999999,2003.0,1.036749958992,2013.0,1.03413999080658,youth literacy,-0.0026099681854199197,,,,,,,,,,,,,,,,,,
Burkina Faso,2000,8.10810810810811,2022,16.9014084507042,parliament,8.793300342596089,2010.0,10.85,2010.0,10.85,land,0.0,2011.0,6.02,2021.0,5.38,savings,-0.6399999999999997,2003.0,0.646449983119965,2022.0,0.930169999599457,youth literacy,0.28372001647949197,2003.0,56.62777777777777,2010.0,53.96666666666667,refuse sex,-2.6611111111111043,2003.0,71.1,2021.0,44.1,belief beating,-26.999999999999993,2003.0,31.6,2010.0,39.8,family planning,8.199999999999996
Burundi,2000,14.4067796610169,2022,38.2113821138211,parliament,23.804602452804204,2010.0,18.022222222222226,2017.0,17.5,land,-0.5222222222222257,2011.0,2.92,2014.0,2.97,savings,0.050000000000000266,2000.0,0.916450023651123,2022.0,0.991379976272583,youth literacy,0.07492995262145996,2010.0,63.85,2017.0,60.21666666666667,refuse sex,-3.633333333333333,2010.0,72.9,2017.0,61.8,belief beating,-11.100000000000009,2010.0,40.3,2017.0,49.0,family planning,8.700000000000003
Cabo Verde,2000,11.1111111111111,2022,38.8888888888889,parliament,27.7777777777778,,,,,,,,,,,,,2000.0,1.01573002338409,2022.0,1.01007997989655,youth literacy,-0.005650043487539946,,,,,,,,,,,,,,,,,,
Cameroon,2000,5.55555555555556,2022,33.8888888888889,parliament,28.33333333333334,2018.0,3.75,2018.0,3.75,land,0.0,2011.0,7.19,2021.0,8.65,savings,1.46,2000.0,0.881699979305267,2020.0,0.945840001106262,youth literacy,0.06414002180099498,2004.0,55.50833333333333,2018.0,61.400000000000006,refuse sex,5.891666666666673,2004.0,55.6,2018.0,27.7,belief beating,-27.900000000000002,2004.0,55.9,2018.0,45.6,family planning,-10.299999999999997
Central African Republic,2000,7.3394495412844,2022,12.8571428571429,parliament,5.517693315858501,,,,,,,2011.0,2.71,2017.0,5.06,savings,2.3499999999999996,2000.0,0.675249993801117,2020.0,0.612200021743774,youth literacy,-0.06304997205734308,,,,,,,,,,,,,,,,,,
Chad,2000,2.4,2022,25.8883248730964,parliament,23.488324873096403,2015.0,12.483333333333333,2015.0,12.483333333333333,land,0.0,2011.0,5.04,2022.0,7.04,savings,2.0,2000.0,0.417259991168976,2022.0,0.740279972553253,youth literacy,0.32301998138427696,2015.0,14.566666666666668,2015.0,14.566666666666668,refuse sex,0.0,2015.0,73.5,2015.0,73.5,belief beating,0.0,2004.0,35.0,2015.0,19.8,family planning,-15.2
Comoros,2004,3.03030303030303,2022,16.6666666666667,parliament,13.63636363636367,2012.0,19.36111111111111,2012.0,19.36111111111111,land,0.0,2011.0,10.95,2022.0,9.78,savings,-1.17,2000.0,0.92383998632431,2022.0,1.02586996555328,youth literacy,0.10202997922896995,2012.0,53.21666666666667,2012.0,53.21666666666667,refuse sex,0.0,2012.0,39.0,2012.0,39.0,belief beating,0.0,2012.0,37.4,2012.0,37.4,family planning,0.0
"Congo, Dem. Rep.",2004,12.0,2022,12.8,parliament,0.8000000000000007,2014.0,11.816666666666666,2014.0,11.816666666666666,land,0.0,2011.0,0.71,2022.0,3.9,savings,3.19,2001.0,0.809050023555756,2022.0,0.940739989280701,youth literacy,0.13168996572494507,2007.0,42.84166666666667,2014.0,51.5,refuse sex,8.658333333333331,2007.0,75.6,2014.0,74.8,belief beating,-0.7999999999999972,2007.0,43.4,2014.0,42.5,family planning,-0.8999999999999986
"Congo, Rep.",2000,12.0,2022,14.5695364238411,parliament,2.5695364238411003,2012.0,5.061111111111111,2012.0,5.061111111111111,land,0.0,2011.0,3.85,2021.0,5.21,savings,1.3599999999999999,2005.0,0.799350023269653,2021.0,0.933210015296936,youth literacy,0.13385999202728305,2012.0,54.2,2012.0,54.2,refuse sex,0.0,2005.0,67.4,2012.0,60.7,belief beating,-6.700000000000003,2005.0,69.4,2012.0,70.9,family planning,1.5
Cote d'Ivoire,2001,8.52017937219731,2022,14.1732283464567,parliament,5.65304897425939,2012.0,8.805555555555555,2012.0,8.805555555555555,land,0.0,2014.0,7.23,2021.0,2.86,savings,-4.370000000000001,2000.0,0.735809981822968,2019.0,0.823239982128143,youth literacy,0.087430000305175,2012.0,44.36666666666667,2012.0,44.36666666666667,refuse sex,0.0,,,,,,,2012.0,40.1,2012.0,40.1,family planning,0.0
Djibouti,2000,0.0,2022,26.1538461538462,parliament,26.1538461538462,,,,,,,2011.0,2.73,2011.0,2.73,savings,0.0,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",2000,1.98237885462555,2022,27.580372250423,parliament,25.59799339579745,2014.0,0.6222222222222222,2014.0,0.6222222222222222,land,0.0,2011.0,0.68,2021.0,1.94,savings,1.2599999999999998,2005.0,0.874509990215302,2022.0,0.989430010318756,youth literacy,0.11492002010345403,,,,,,,2005.0,50.0,2014.0,35.7,belief beating,-14.299999999999997,2000.0,80.4,2014.0,82.3,family planning,1.8999999999999915
Equatorial Guinea,2000,5.0,2022,31.0,parliament,26.0,,,,,,,,,,,,,2000.0,0.989920020103455,2010.0,1.00618004798889,youth literacy,0.016260027885435013,,,,,,,,,,,,,,,,,,
Eritrea,2000,14.6666666666667,2019,22.0,parliament,7.3333333333333,,,,,,,,,,,,,2002.0,0.805570006370544,2018.0,0.988229990005493,youth literacy,0.18265998363494906,,,,,,,2002.0,70.7,2002.0,70.7,belief beating,0.0,2002.0,22.0,2002.0,22.0,family planning,0.0
Eswatini,2000,3.07692307692308,2022,13.5135135135135,parliament,10.43659043659042,,,,,,,2011.0,15.35,2022.0,12.46,savings,-2.889999999999999,2000.0,1.02419996261597,2020.0,1.02390003204346,youth literacy,-0.00029993057250998767,2007.0,53.19444444444444,2007.0,53.19444444444444,refuse sex,0.0,2007.0,23.2,2007.0,23.2,belief beating,0.0,2007.0,67.2,2007.0,67.2,family planning,0.0
Ethiopia,2000,7.69230769230769,2022,41.4893617021277,parliament,33.797054009820016,2011.0,17.294444444444444,2016.0,14.022222222222222,land,-3.272222222222222,2014.0,12.37,2022.0,16.91,savings,4.540000000000001,2000.0,0.546189606189728,2017.0,0.978940010070801,youth literacy,0.432750403881073,2005.0,77.01111111111112,2016.0,72.10000000000001,refuse sex,-4.911111111111111,2000.0,84.5,2016.0,63.0,belief beating,-21.5,2000.0,18.1,2016.0,61.7,family planning,43.6
Gabon,2000,9.16666666666667,2022,15.3846153846154,parliament,6.21794871794873,2012.0,6.794444444444444,2021.0,1.9333333333333331,land,-4.861111111111111,2011.0,5.17,2021.0,6.35,savings,1.1799999999999997,2012.0,1.0228099822998,2022.0,1.04286003112793,youth literacy,0.020050048828129885,2012.0,72.94166666666668,2021.0,40.8,refuse sex,-32.14166666666668,2012.0,50.2,2021.0,29.3,belief beating,-20.900000000000002,2000.0,54.0,2012.0,54.1,family planning,0.10000000000000142
"Gambia, The",2000,2.04081632653061,2022,8.62068965517241,parliament,6.579873328641799,2013.0,6.816666666666666,2020.0,2.8111111111111113,land,-4.005555555555555,2017.0,8.28,2022.0,13.07,savings,4.790000000000001,2000.0,0.643360018730164,2022.0,1.12796998023987,youth literacy,0.4846099615097059,2013.0,51.31666666666666,2020.0,63.2,refuse sex,11.88333333333334,2013.0,58.4,2020.0,51.4,belief beating,-7.0,2013.0,26.5,2020.0,43.9,family planning,17.4
