REF_AREA_LABEL,OBS_VALUE,TIME_PERIOD,Area
Burkina Faso,39.8,2010,family planning
Burkina Faso,31.6,2003,family planning
Benin,32.4,2018,family planning
Benin,28.4,2012,family planning
Benin,38.4,2006,family planning
Benin,40.0,2001,family planning
Togo,37.1,2014,family planning
"Congo, Dem. Rep.",42.5,2014,family planning
"Congo, Dem. Rep.",43.4,2007,family planning
Eswatini,67.2,2007,family planning
Sao Tome and Principe,50.5,2009,family planning
Angola,26.4,2016,family planning
Gabon,54.1,2012,family planning
Gabon,54.0,2000,family planning
Comoros,37.4,2012,family planning
Chad,19.8,2015,family planning
Chad,35.0,2004,family planning
Eritrea,22.0,2002,family planning
South Africa,78.6,2016,family planning
"Congo, Rep.",70.9,2012,family planning
"Congo, Rep.",69.4,2005,family planning
Cameroon,45.6,2018,family planning
Cameroon,49.9,2011,family planning
Cameroon,55.9,2004,family planning
Burundi,49.0,2017,family planning
Burundi,40.3,2010,family planning
Mauritania,31.5,2021,family planning
Mauritania,19.9,2001,family planning
Ghana,47.2,2014,family planning
Ghana,39.7,2008,family planning
Ghana,42.2,2003,family planning
Cote d'Ivoire,40.1,2012,family planning
Guinea,33.0,2018,family planning
Guinea,19.1,2012,family planning
Guinea,29.3,2005,family planning
Zimbabwe,86.5,2015,family planning
Zimbabwe,80.1,2011,family planning
Zimbabwe,79.6,2006,family planning
"Egypt, Arab Rep.",82.3,2014,family planning
"Egypt, Arab Rep.",83.9,2008,family planning
"Egypt, Arab Rep.",82.8,2005,family planning
"Egypt, Arab Rep.",83.6,2003,family planning
"Egypt, Arab Rep.",80.4,2000,family planning
"Gambia, The",43.9,2020,family planning
"Gambia, The",26.5,2013,family planning
Liberia,42.7,2020,family planning
Liberia,39.4,2013,family planning
Liberia,24.3,2007,family planning
Namibia,76.2,2013,family planning
Namibia,72.7,2007,family planning
Namibia,64.7,2000,family planning
Morocco,84.1,2004,family planning
Lesotho,76.5,2014,family planning
Lesotho,66.9,2009,family planning
Lesotho,54.6,2004,family planning
Mali,42.0,2018,family planning
Mali,28.5,2013,family planning
Mali,23.0,2006,family planning
Mali,21.4,2001,family planning
Sierra Leone,46.1,2019,family planning
Sierra Leone,40.0,2013,family planning
Sierra Leone,22.4,2008,family planning
Uganda,57.9,2016,family planning
Uganda,46.7,2011,family planning
Uganda,38.4,2006,family planning
Uganda,39.4,2001,family planning
Nigeria,46.9,2018,family planning
Nigeria,48.5,2013,family planning
Nigeria,41.9,2008,family planning
Nigeria,41.8,2003,family planning
Niger,46.5,2012,family planning
Niger,41.1,2006,family planning
Kenya,76.8,2014,family planning
Kenya,63.9,2009,family planning
Kenya,58.9,2003,family planning
Senegal,55.4,2019,family planning
Senegal,56.9,2018,family planning
Senegal,55.9,2017,family planning
Senegal,51.6,2016,family planning
Senegal,48.0,2015,family planning
Senegal,46.4,2014,family planning
Senegal,37.9,2013,family planning
Senegal,30.4,2011,family planning
Senegal,27.0,2005,family planning
Mozambique,53.9,2015,family planning
Mozambique,32.7,2011,family planning
Mozambique,43.4,2003,family planning
Tanzania,63.4,2016,family planning
Tanzania,60.6,2010,family planning
Tanzania,52.1,2005,family planning
Zambia,71.6,2018,family planning
Zambia,69.9,2014,family planning
Zambia,60.5,2007,family planning
Zambia,55.4,2002,family planning
Madagascar,77.3,2021,family planning
Madagascar,67.8,2009,family planning
Madagascar,52.6,2004,family planning
Ethiopia,61.7,2016,family planning
Ethiopia,52.1,2011,family planning
Ethiopia,29.0,2005,family planning
Ethiopia,18.1,2000,family planning
Rwanda,82.5,2020,family planning
Rwanda,73.8,2015,family planning
Rwanda,71.3,2010,family planning
Rwanda,51.4,2008,family planning
Rwanda,31.1,2005,family planning
Rwanda,26.7,2000,family planning
Malawi,76.0,2016,family planning
Malawi,63.8,2010,family planning
Malawi,51.7,2004,family planning
Malawi,50.6,2000,family planning
