REF_AREA_LABEL,OBS_VALUE,TIME_PERIOD,Area
Rwanda,61.25,2022,Parliament
Ethiopia,41.4893617021277,2022,Parliament
Senegal,44.2424242424242,2022,Parliament
Cameroon,33.8888888888889,2022,Parliament
Cabo Verde,38.8888888888889,2022,Parliament
Burundi,38.2113821138211,2022,Parliament
Djibouti,26.1538461538462,2022,Parliament
"Egypt, Arab Rep.",27.580372250423,2022,Parliament
Sudan,30.5164319248826,2018,Parliament
Niger,25.9036144578313,2022,Parliament
Angola,33.6363636363636,2022,Parliament
Chad,25.8883248730964,2022,Parliament
Morocco,24.0506329113924,2022,Parliament
Guinea,29.6296296296296,2022,Parliament
Equatorial Guinea,31.0,2022,Parliament
Namibia,44.2307692307692,2022,Parliament
Lesotho,26.4462809917355,2022,Parliament
South Africa,46.5,2022,Parliament
Kenya,23.4285714285714,2022,Parliament
Tunisia,26.2672811059908,2022,Parliament
Tanzania,36.8556701030928,2022,Parliament
Mauritania,20.2614379084967,2022,Parliament
Togo,18.6813186813187,2022,Parliament
Malawi,22.9166666666667,2022,Parliament
Mozambique,42.4,2022,Parliament
Comoros,16.6666666666667,2022,Parliament
Mali,28.5714285714286,2022,Parliament
Zimbabwe,30.5660377358491,2022,Parliament
Uganda,33.8129496402878,2022,Parliament
Madagascar,18.5430463576159,2022,Parliament
Mauritius,20.0,2022,Parliament
Libya,16.4705882352941,2022,Parliament
Somalia,19.7080291970803,2022,Parliament
Eswatini,13.5135135135135,2022,Parliament
Central African Republic,12.8571428571429,2022,Parliament
Burkina Faso,16.9014084507042,2022,Parliament
Sao Tome and Principe,14.5454545454545,2022,Parliament
Gabon,15.3846153846154,2022,Parliament
"Gambia, The",8.62068965517241,2022,Parliament
Cote d'Ivoire,14.1732283464567,2022,Parliament
South Sudan,32.3636363636364,2022,Parliament
Ghana,14.5454545454545,2022,Parliament
Zambia,15.0602409638554,2022,Parliament
Algeria,8.10810810810811,2022,Parliament
Guinea-Bissau,13.7254901960784,2022,Parliament
Sierra Leone,12.3287671232877,2022,Parliament
Liberia,10.958904109589,2022,Parliament
Botswana,11.1111111111111,2022,Parliament
"Congo, Rep.",14.5695364238411,2022,Parliament
Eritrea,22.0,2019,Parliament
"Congo, Dem. Rep.",12.8,2022,Parliament
Nigeria,3.61111111111111,2022,Parliament
Benin,7.40740740740741,2022,Parliament
Seychelles,22.8571428571429,2022,Parliament
