REF_AREA_LABEL,SEX_LABEL,OBS_VALUE,TIME_PERIOD,Area
Zimbabwe,Female,3.05,2021,Savings
Zimbabwe,Female,3.8,2017,Savings
Zimbabwe,Female,3.73,2014,Savings
Zimbabwe,Female,16.97,2011,Savings
Zambia,Female,7.95,2021,Savings
Zambia,Female,12.28,2017,Savings
Zambia,Female,16.35,2014,Savings
Zambia,Female,13.06,2011,Savings
Uganda,Female,13.72,2021,Savings
Uganda,Female,10.62,2017,Savings
Uganda,Female,14.59,2014,Savings
Uganda,Female,12.61,2011,Savings
Tunisia,Female,10.53,2021,Savings
Tunisia,Female,14.21,2017,Savings
Tunisia,Female,8.56,2014,Savings
Togo,Female,10.88,2021,Savings
Togo,Female,9.64,2017,Savings
Togo,Female,6.19,2014,Savings
Togo,Female,2.63,2011,Savings
Tanzania,Female,4.15,2021,Savings
Tanzania,Female,4.49,2017,Savings
Tanzania,Female,8.17,2014,Savings
Tanzania,Female,11.4,2011,Savings
Sudan,Female,3.94,2014,Savings
Sudan,Female,2.42,2011,Savings
South Sudan,Female,0.46,2021,Savings
South Sudan,Female,2.88,2017,Savings
South Africa,Female,33.34,2021,Savings
South Africa,Female,18.65,2017,Savings
South Africa,Female,31.18,2014,Savings
South Africa,Female,20.55,2011,Savings
Somalia,Female,1.29,2014,Savings
Sierra Leone,Female,3.37,2021,Savings
Sierra Leone,Female,4.07,2017,Savings
Sierra Leone,Female,8.43,2014,Savings
Sierra Leone,Female,10.61,2011,Savings
Senegal,Female,5.81,2021,Savings
Senegal,Female,4.73,2017,Savings
Senegal,Female,3.96,2014,Savings
Senegal,Female,3.02,2011,Savings
Rwanda,Female,15.55,2017,Savings
Rwanda,Female,20.21,2014,Savings
Rwanda,Female,12.64,2011,Savings
Nigeria,Female,12.33,2021,Savings
Nigeria,Female,13.41,2017,Savings
Nigeria,Female,21.4,2014,Savings
Nigeria,Female,20.91,2011,Savings
Niger,Female,1.7,2022,Savings
Niger,Female,1.7,2017,Savings
Niger,Female,1.77,2014,Savings
Niger,Female,0.99,2011,Savings
Namibia,Female,30.4,2021,Savings
Namibia,Female,34.16,2017,Savings
Namibia,Female,24.56,2014,Savings
Mozambique,Female,6.1,2021,Savings
Mozambique,Female,8.82,2017,Savings
Morocco,Female,6.07,2021,Savings
Morocco,Female,2.64,2017,Savings
Mauritius,Female,27.56,2021,Savings
Mauritius,Female,23.12,2017,Savings
Mauritius,Female,34.3,2014,Savings
Mauritius,Female,27.06,2011,Savings
Mauritania,Female,4.89,2022,Savings
Mauritania,Female,6.23,2017,Savings
Mauritania,Female,9.85,2014,Savings
Mauritania,Female,5.12,2011,Savings
Mali,Female,11.23,2021,Savings
Mali,Female,3.79,2017,Savings
Mali,Female,0.98,2014,Savings
Mali,Female,3.33,2011,Savings
Malawi,Female,6.01,2021,Savings
Malawi,Female,5.81,2017,Savings
Malawi,Female,5.6,2014,Savings
Malawi,Female,8.89,2011,Savings
Madagascar,Female,4.03,2022,Savings
Madagascar,Female,3.37,2017,Savings
Madagascar,Female,3.23,2014,Savings
Madagascar,Female,1.46,2011,Savings
Libya,Female,9.91,2017,Savings
Liberia,Female,7.25,2021,Savings
Liberia,Female,8.49,2017,Savings
Liberia,Female,11.1,2011,Savings
Lesotho,Female,13.74,2022,Savings
Lesotho,Female,8.17,2017,Savings
Lesotho,Female,7.16,2011,Savings
Kenya,Female,15.15,2021,Savings
Kenya,Female,18.5,2017,Savings
Kenya,Female,27.93,2014,Savings
Kenya,Female,19.2,2011,Savings
Guinea,Female,3.44,2021,Savings
Guinea,Female,5.47,2017,Savings
Guinea,Female,1.51,2014,Savings
Guinea,Female,2.08,2011,Savings
Ghana,Female,15.52,2021,Savings
Ghana,Female,13.92,2017,Savings
Ghana,Female,18.85,2014,Savings
Ghana,Female,14.48,2011,Savings
"Gambia, The",Female,13.07,2022,Savings
"Gambia, The",Female,8.28,2017,Savings
Gabon,Female,6.35,2021,Savings
Gabon,Female,13.15,2017,Savings
Gabon,Female,17.01,2014,Savings
Gabon,Female,5.17,2011,Savings
Ethiopia,Female,16.91,2022,Savings
Ethiopia,Female,20.43,2017,Savings
Ethiopia,Female,12.37,2014,Savings
Eswatini,Female,12.46,2022,Savings
Eswatini,Female,15.35,2011,Savings
"Egypt, Arab Rep.",Female,1.94,2021,Savings
"Egypt, Arab Rep.",Female,3.77,2017,Savings
"Egypt, Arab Rep.",Female,3.92,2014,Savings
"Egypt, Arab Rep.",Female,0.68,2011,Savings
Djibouti,Female,2.73,2011,Savings
Cote d'Ivoire,Female,2.86,2021,Savings
Cote d'Ivoire,Female,4.63,2017,Savings
Cote d'Ivoire,Female,7.23,2014,Savings
"Congo, Rep.",Female,5.21,2021,Savings
"Congo, Rep.",Female,6.5,2017,Savings
"Congo, Rep.",Female,8.34,2014,Savings
"Congo, Rep.",Female,3.85,2011,Savings
"Congo, Dem. Rep.",Female,3.9,2022,Savings
"Congo, Dem. Rep.",Female,4.42,2017,Savings
"Congo, Dem. Rep.",Female,3.07,2014,Savings
"Congo, Dem. Rep.",Female,0.71,2011,Savings
Comoros,Female,9.78,2022,Savings
Comoros,Female,10.95,2011,Savings
Chad,Female,7.04,2022,Savings
Chad,Female,1.58,2017,Savings
Chad,Female,3.71,2014,Savings
Chad,Female,5.04,2011,Savings
Central African Republic,Female,5.06,2017,Savings
Central African Republic,Female,2.71,2011,Savings
Cameroon,Female,8.65,2021,Savings
Cameroon,Female,8.09,2017,Savings
Cameroon,Female,4.79,2014,Savings
Cameroon,Female,7.19,2011,Savings
Burundi,Female,2.97,2014,Savings
Burundi,Female,2.92,2011,Savings
Burkina Faso,Female,5.38,2021,Savings
Burkina Faso,Female,11.71,2017,Savings
Burkina Faso,Female,7.45,2014,Savings
Burkina Faso,Female,6.02,2011,Savings
Botswana,Female,12.9,2022,Savings
Botswana,Female,15.5,2017,Savings
Botswana,Female,24.66,2014,Savings
Botswana,Female,15.62,2011,Savings
Benin,Female,1.81,2021,Savings
Benin,Female,7.25,2017,Savings
Benin,Female,5.27,2014,Savings
Benin,Female,6.26,2011,Savings
Angola,Female,9.5,2014,Savings
Angola,Female,13.24,2011,Savings
Algeria,Female,13.72,2021,Savings
Algeria,Female,8.43,2017,Savings
Algeria,Female,5.73,2014,Savings
Algeria,Female,2.96,2011,Savings
