TIME_PERIOD,Rwanda,Ethiopia,Senegal,Cameroon,Cabo Verde,Burundi,Djibouti,"Egypt, Arab Rep.",Sudan,Niger,Angola,Chad,Morocco,Guinea,Equatorial Guinea,Namibia,Lesotho,South Africa,Kenya,Tunisia,Tanzania,Mauritania,Togo,Malawi,Mozambique,Comoros,Mali,Zimbabwe,Uganda,Madagascar,Mauritius,Libya,Somalia,Eswatini,Central African Republic,Burkina Faso,Sao Tome and Principe,Gabon,"Gambia, The",Cote d'Ivoire,South Sudan,Ghana,Zambia,Algeria,Guinea-Bissau,Sierra Leone,Liberia,Botswana,"Congo, Rep.",Eritrea,"Congo, Dem. Rep.",Nigeria,Benin,Seychelles,OBS_VALUE,min,max
2000,25.7142857142857,7.69230769230769,12.1428571428571,5.55555555555556,11.1111111111111,14.4067796610169,0.0,1.98237885462555,,1.20481927710843,15.4545454545455,2.4,0.615384615384615,8.7719298245614,5.0,25.0,3.79746835443038,29.8245614035088,3.57142857142857,11.5384615384615,,3.79746835443038,4.93827160493827,9.32642487046632,30.0,,12.2448979591837,9.33333333333333,17.7935943060498,8.0,5.71428571428571,,,3.07692307692308,7.3394495412844,8.10810810810811,9.09090909090909,9.16666666666667,2.04081632653061,,,,10.126582278481,3.42105263157895,7.84313725490196,8.75,7.8125,17.0212765957447,12.0,14.6666666666667,,3.41880341880342,6.02409638554217,23.5294117647059,8.10810810810811,0.0,30.0
2001,25.6756756756757,7.6782449725777,16.6666666666667,5.55555555555556,11.1111111111111,14.4067796610169,0.0,2.42290748898678,9.72222222222222,1.20481927710843,15.4545454545455,2.4,0.615384615384615,8.7719298245614,5.0,25.0,3.79746835443038,29.8245614035088,3.57142857142857,11.5384615384615,22.2627737226277,,4.93827160493827,9.32642487046632,30.0,,12.2448979591837,10.0,24.6710526315789,8.0,5.71428571428571,,,3.07692307692308,7.3394495412844,8.10810810810811,9.09090909090909,9.16666666666667,2.04081632653061,8.52017937219731,,9.0,10.126582278481,3.42105263157895,7.84313725490196,8.75,7.8125,17.0212765957447,12.0,14.6666666666667,,3.41880341880342,6.02409638554217,23.5294117647059,8.7609649122807,0.0,30.0
2002,25.6756756756757,7.6782449725777,19.1666666666667,8.88888888888889,11.1111111111111,18.4357541899441,0.0,2.42290748898678,9.72222222222222,1.20481927710843,15.4545454545455,,10.7692307692308,,5.0,25.0,,29.8245614035088,3.57142857142857,11.5384615384615,22.2627737226277,,4.93827160493827,9.32642487046632,30.0,,10.2040816326531,10.0,24.6710526315789,,5.71428571428571,,,3.07692307692308,7.3394495412844,11.7117117117117,,9.2436974789916,5.66037735849057,8.52017937219731,,9.0,12.0253164556962,6.16966580976864,7.84313725490196,,7.8125,17.0212765957447,,22.0,,3.41880341880342,6.02409638554217,29.4117647058824,9.32642487046632,0.0,30.0
2003,48.75,7.6782449725777,19.1666666666667,8.88888888888889,11.1111111111111,18.4357541899441,10.7692307692308,2.42290748898678,9.72222222222222,1.20481927710843,15.4545454545455,5.80645161290323,10.7692307692308,19.2982456140351,5.0,26.3888888888889,11.6666666666667,29.8245614035088,7.14285714285714,11.5384615384615,21.3559322033898,3.7037037037037,7.40740740740741,9.32642487046632,30.0,,10.2040816326531,10.0,24.6710526315789,3.75,5.71428571428571,,,10.7692307692308,,11.7117117117117,9.09090909090909,9.2436974789916,13.2075471698113,8.52017937219731,,9.0,12.0253164556962,6.16966580976864,,14.5161290322581,7.8125,17.0212765957447,8.52713178294574,22.0,,4.72222222222222,6.02409638554217,29.4117647058824,10.2040816326531,1.20481927710843,48.75
2004,48.75,7.6782449725777,19.1666666666667,8.88888888888889,11.1111111111111,18.4357541899441,10.7692307692308,2.86343612334802,9.72222222222222,12.3893805309735,15.0,6.45161290322581,10.7692307692308,19.2982456140351,18.0,25.0,11.6666666666667,32.7787021630616,7.14285714285714,22.7513227513228,21.3559322033898,3.7037037037037,6.17283950617284,13.9896373056995,34.8,3.03030303030303,10.2040816326531,10.0,23.9344262295082,6.875,5.71428571428571,,,10.7692307692308,,11.7117117117117,9.09090909090909,9.2436974789916,13.2075471698113,8.52017937219731,,10.8695652173913,12.0253164556962,6.16966580976864,14.0,14.5161290322581,5.26315789473684,11.1111111111111,8.52713178294574,22.0,12.0,4.72222222222222,7.2289156626506,29.4117647058824,10.990338164251199,2.86343612334802,48.75
2005,48.75,21.4285714285714,19.1666666666667,8.88888888888889,11.1111111111111,30.5084745762712,10.7692307692308,1.98237885462555,14.6666666666667,12.3893805309735,15.0,6.45161290322581,10.7692307692308,19.2982456140351,18.0,26.9230769230769,11.6666666666667,32.75,7.14285714285714,22.7513227513228,30.4075235109718,,7.40740740740741,13.6125654450262,34.8,3.03030303030303,10.2040816326531,16.0,23.9344262295082,6.875,17.1428571428571,4.73684210526316,8.0,10.7692307692308,10.4761904761905,11.7117117117117,9.09090909090909,9.2436974789916,13.2075471698113,8.52017937219731,,10.8695652173913,12.6582278481013,6.16966580976864,14.0,14.5161290322581,12.5,11.1111111111111,8.52713178294574,22.0,12.0,6.38888888888889,7.2289156626506,29.4117647058824,11.85585585585585,1.98237885462555,48.75
2006,48.75,21.9281663516068,19.1666666666667,8.88888888888889,15.2777777777778,30.5084745762712,10.7692307692308,2.03619909502262,17.7777777777778,12.3893805309735,15.0,6.45161290322581,10.7692307692308,19.2982456140351,18.0,26.9230769230769,11.6666666666667,32.75,7.30593607305936,22.7513227513228,30.4075235109718,17.8947368421053,8.64197530864197,13.6125654450262,34.8,3.03030303030303,10.2040816326531,16.6666666666667,29.8192771084337,6.875,17.1428571428571,7.69230769230769,7.80669144981413,10.7692307692308,10.4761904761905,11.7117117117117,7.27272727272727,12.5,13.2075471698113,8.52017937219731,,10.8695652173913,14.6496815286624,6.16966580976864,14.0,14.5161290322581,12.5,11.1111111111111,8.52713178294574,22.0,8.4,6.11111111111111,7.2289156626506,29.4117647058824,12.5,2.03619909502262,48.75
2007,48.75,21.9281663516068,22.0,13.8888888888889,18.0555555555556,30.5084745762712,13.8461538461538,1.80995475113122,18.058690744921,12.3893805309735,15.0,5.16129032258065,10.4615384615385,19.2982456140351,18.0,26.9230769230769,23.5294117647059,33.0,7.2463768115942,22.7513227513228,30.4075235109718,22.1052631578947,11.1111111111111,12.9533678756477,34.8,3.03030303030303,10.2040816326531,16.0,30.7228915662651,7.8740157480315,17.1428571428571,7.69230769230769,8.203125,10.7692307692308,10.4761904761905,15.3153153153153,1.81818181818182,16.6666666666667,9.43396226415094,8.86699507389163,,10.8695652173913,15.1898734177215,7.7120822622108,14.0,13.2231404958678,12.5,11.1111111111111,7.2992700729927,22.0,8.4,6.98324022346369,10.8433734939759,23.5294117647059,13.8461538461538,1.80995475113122,48.75
2008,56.25,21.9281663516068,22.0,13.8888888888889,18.0555555555556,30.5084745762712,13.8461538461538,1.80995475113122,18.058690744921,12.3893805309735,37.2727272727273,5.16129032258065,10.4615384615385,,6.0,26.9230769230769,25.0,33.0,9.82142857142857,22.7513227513228,30.4075235109718,22.1052631578947,11.1111111111111,12.9533678756477,34.8,3.03030303030303,10.2040816326531,15.2380952380952,30.7228915662651,7.8740157480315,17.1428571428571,7.69230769230769,8.203125,13.8461538461538,10.4761904761905,15.3153153153153,7.27272727272727,16.6666666666667,9.43396226415094,8.86699507389163,,7.89473684210526,15.1898734177215,7.7120822622108,10.0,13.2231404958678,12.5,11.1111111111111,7.2992700729927,22.0,8.4,6.98324022346369,10.8433734939759,23.5294117647059,13.08825418575775,1.80995475113122,56.25
2009,56.25,21.9281663516068,22.6666666666667,13.8888888888889,18.0555555555556,31.3559322033898,13.8461538461538,1.76211453744493,18.9189189189189,9.73451327433628,38.6363636363636,5.16129032258065,10.4615384615385,,10.0,26.9230769230769,24.1666666666667,44.5,9.82142857142857,27.5700934579439,30.6501547987616,22.1052631578947,11.1111111111111,20.8333333333333,39.2,0.0,10.2040816326531,14.9532710280374,31.4814814814815,,17.1428571428571,7.69230769230769,6.86456400742115,13.6363636363636,9.61538461538462,15.3153153153153,7.27272727272727,14.6551724137931,7.54716981132075,8.86699507389163,,8.26086956521739,14.0127388535032,7.7120822622108,10.0,13.2231404958678,12.5,7.93650793650794,7.2992700729927,22.0,8.4,6.98324022346369,10.8433734939759,23.5294117647059,13.6363636363636,0.0,56.25
