REF_AREA_LABEL,OBS_VALUE,TIME_PERIOD,Area
Somalia,0.658689975738525,1972,youth literacy
Burkina Faso,0.297809988260269,1975,youth literacy
Central African Republic,0.361510008573532,1975,youth literacy
Cameroon,0.742079973220825,1976,youth literacy
"Egypt, Arab Rep.",0.604730010032654,1976,youth literacy
Mali,0.505320012569427,1976,youth literacy
Eswatini,0.985499978065491,1976,youth literacy
Rwanda,0.749149978160858,1978,youth literacy
Burundi,0.524940013885498,1979,youth literacy
Benin,0.399360001087189,1979,youth literacy
Guinea-Bissau,0.298240005970001,1979,youth literacy
Comoros,0.791530013084412,1980,youth literacy
Mozambique,0.392710000276566,1980,youth literacy
South Africa,0.995630025863647,1980,youth literacy
Sao Tome and Principe,0.815429985523224,1981,youth literacy
Morocco,0.532559990882874,1982,youth literacy
Zimbabwe,0.903919994831085,1982,youth literacy
"Congo, Rep.",0.896179974079132,1984,youth literacy
Liberia,0.536779999732971,1984,youth literacy
Libya,0.820739984512329,1984,youth literacy
Tunisia,0.729179978370667,1984,youth literacy
"Egypt, Arab Rep.",0.756569981575012,1986,youth literacy
Eswatini,1.01436996459961,1986,youth literacy
Algeria,0.721459984779358,1987,youth literacy
Malawi,0.697440028190613,1987,youth literacy
Seychelles,1.01682996749878,1987,youth literacy
Central African Republic,0.557079970836639,1988,youth literacy
Cote d'Ivoire,0.631479978561401,1988,youth literacy
Senegal,0.570659995079041,1988,youth literacy
Tanzania,0.90327000617981,1988,youth literacy
Burundi,0.806940019130707,1990,youth literacy
Cabo Verde,0.960709989070892,1990,youth literacy
Mauritius,1.01101994514465,1990,youth literacy
Zambia,0.974059998989105,1990,youth literacy
Burkina Faso,0.529089987277985,1991,youth literacy
Botswana,1.06885004043579,1991,youth literacy
Namibia,1.0521399974823,1991,youth literacy
Nigeria,0.768079996109009,1991,youth literacy
Sao Tome and Principe,0.958710014820099,1991,youth literacy
Uganda,0.817409992218018,1991,youth literacy
Benin,0.484129995107651,1992,youth literacy
Zimbabwe,0.97733998298645,1992,youth literacy
Gabon,0.975709974765778,1993,youth literacy
Chad,0.340840011835098,1993,youth literacy
Ethiopia,0.714709997177124,1994,youth literacy
Libya,0.968620002269745,1994,youth literacy
Morocco,0.644339978694916,1994,youth literacy
Seychelles,1.00650000572205,1994,youth literacy
Burkina Faso,0.548910021781921,1996,youth literacy
"Egypt, Arab Rep.",0.8473299741745,1996,youth literacy
Guinea,0.305370002985001,1996,youth literacy
South Africa,1.00838005542755,1996,youth literacy
Mozambique,0.614830017089844,1997,youth literacy
Cote d'Ivoire,0.732479989528656,1998,youth literacy
Mali,0.522790014743805,1998,youth literacy
Malawi,0.861249983310699,1998,youth literacy
Zambia,0.912020027637482,1999,youth literacy
Burundi,0.916450023651123,2000,youth literacy
Central African Republic,0.675249993801117,2000,youth literacy
Cote d'Ivoire,0.735809981822968,2000,youth literacy
Cameroon,0.881699979305267,2000,youth literacy
Comoros,0.92383998632431,2000,youth literacy
Cabo Verde,1.01573002338409,2000,youth literacy
Ethiopia,0.546189606189728,2000,youth literacy
Ghana,0.862309992313385,2000,youth literacy
"Gambia, The",0.643360018730164,2000,youth literacy
Guinea-Bissau,0.613669991493225,2000,youth literacy
Equatorial Guinea,0.989920020103455,2000,youth literacy
Kenya,0.985350012779236,2000,youth literacy
Lesotho,1.12995994091034,2000,youth literacy
Madagascar,0.938499987125397,2000,youth literacy
Mauritania,0.819159984588623,2000,youth literacy
Mauritius,1.01719999313354,2000,youth literacy
Namibia,1.02636516094208,2000,youth literacy
Rwanda,0.978860020637512,2000,youth literacy
Sudan,0.844060003757477,2000,youth literacy
Eswatini,1.02419996261597,2000,youth literacy
Chad,0.417259991168976,2000,youth literacy
Togo,0.758539974689484,2000,youth literacy
Angola,0.754170000553131,2001,youth literacy
Benin,0.52144730091095,2001,youth literacy
"Congo, Dem. Rep.",0.809050023555756,2001,youth literacy
Namibia,1.02653002738953,2001,youth literacy
Niger,0.542639970779419,2001,youth literacy
Sao Tome and Principe,0.988319993019104,2001,youth literacy
Benin,0.56139999628067,2002,youth literacy
Algeria,0.915759980678558,2002,youth literacy
Eritrea,0.805570006370544,2002,youth literacy
Senegal,0.70048999786377,2002,youth literacy
Seychelles,1.00608003139496,2002,youth literacy
Tanzania,0.94173002243042,2002,youth literacy
Uganda,0.886240005493164,2002,youth literacy
Zambia,0.853150010108948,2002,youth literacy
Burkina Faso,0.646449983119965,2003,youth literacy
Botswana,1.036749958992,2003,youth literacy
Ghana,0.86174350976944,2003,youth literacy
Guinea,0.572950005531311,2003,youth literacy
Mozambique,0.672919988632202,2003,youth literacy
Nigeria,0.774489998817444,2003,youth literacy
Cameroon,0.831183254718781,2004,youth literacy
Ethiopia,0.618969976902008,2004,youth literacy
Morocco,0.748650014400482,2004,youth literacy
Sierra Leone,0.626649975776672,2004,youth literacy
Chad,0.573000013828278,2004,youth literacy
Tunisia,0.956900000572205,2004,youth literacy
Burkina Faso,0.655849993228912,2005,youth literacy
"Congo, Rep.",0.799350023269653,2005,youth literacy
"Egypt, Arab Rep.",0.874509990215302,2005,youth literacy
Ethiopia,0.595860004425049,2005,youth literacy
Guinea,0.375759452581406,2005,youth literacy
Madagascar,0.95949000120163,2005,youth literacy
Niger,0.442279994487762,2005,youth literacy
Rwanda,0.937981307506561,2005,youth literacy
